id,degree_name,description,start_date,end_date,study_type,is_verified,is_verified_degree_type,is_verified_school,created_by,created_at,updated_at,degree_type_id,school_id,resource_id
18,études à l'université internationale de rabat,période d'étude couvrant divers aspects de l'ingénierie,2019-09-01 00:00:00,2020-09-01 00:00:00,0,0,0,0,,2024-09-11 10:16:32,2024-09-11 10:16:32,2,37.0,10
19,engineering degree in computer science,"studies in various models related to cs, networks, ai, web development. ensuring a strong foundation in computer science along with hands-on experience.",2019-09-01 00:00:00,2024-09-01 00:00:00,0,0,0,0,,2024-09-11 10:16:37,2024-09-11 10:16:37,8,38.0,11
20,computer science major,"studies in computer science focusing on core programming, data structures, algorithms, and system design.",2022-10-01 00:00:00,2023-12-01 00:00:00,0,0,0,0,,2024-09-11 10:16:37,2024-09-11 10:16:37,5,39.0,11
21,"baccalaureate, mathematical sciences a",high school studies with a focus on advanced mathematics and sciences.,2017-10-01 00:00:00,2018-12-01 00:00:00,0,0,0,0,,2024-09-11 10:16:37,2024-09-11 10:16:37,1,40.0,11
22,génie informatique,"j'ai étudié divers modèles relatifs à l'informatique, réseau, ia, développement web.",2016-09-01 01:00:00,2018-06-01 01:00:00,0,0,0,0,,2024-09-11 10:19:13,2024-09-11 10:19:13,6,41.0,14
23,ingénierie des applications mobiles,formation spécialisée dans le développement et l'ingénierie des applications mobiles.,2018-09-01 01:00:00,2019-06-01 01:00:00,0,0,0,0,,2024-09-11 10:19:13,2024-09-11 10:19:13,2,42.0,14
24,iot – logiciel et analyse,"spécialisation dans les technologies iot, logiciels et analyse des données.",2019-09-01 01:00:00,2021-06-01 01:00:00,0,0,0,0,,2024-09-11 10:19:13,2024-09-11 10:19:13,3,43.0,14
25,baccalauréat sciences physique,"baccalauréat en sciences physique à lycée ibn abdoun khouribga, mention bien.",2018-09-01 00:00:00,2018-06-01 00:00:00,0,0,0,0,,2024-09-11 10:19:19,2024-09-11 10:19:19,1,44.0,12
26,génie informatique option administration de systèm,dut en génie informatique avec option administration de systèmes et réseaux à école supérieure de technologie de safi - université cadi ayyad.,2019-09-01 00:00:00,2021-06-01 00:00:00,0,0,0,0,,2024-09-11 10:19:19,2024-09-11 10:19:19,2,45.0,12
27,cycle d'ingénierie informatique et réseaux (iir),cycle d'ingénierie en informatique et réseaux à école marocaine des sciences de l'ingénieur casablanca (emsi).,2021-09-01 00:00:00,2024-06-01 00:00:00,0,0,0,0,,2024-09-11 10:19:19,2024-09-11 10:19:19,8,46.0,12
28,sécurité de l’information et cryptologie,lauréate du master « sécurité de l’information et cryptologie »,2014-09-01 00:00:00,,0,0,0,0,,2024-09-11 10:19:23,2024-09-11 10:19:23,3,47.0,13
29,sciences mathématiques et informatique,licence « sciences mathématiques et informatique »,,2012-08-31 00:00:00,0,0,0,0,,2024-09-11 10:19:23,2024-09-11 10:19:23,2,48.0,13
30,sciences mathématiques,baccalauréat « sciences mathématiques »,,2008-08-31 00:00:00,0,0,0,0,,2024-09-11 10:19:23,2024-09-11 10:19:23,1,49.0,13
31,software engineer degree,"software engineering studies focusing on software development, computer science principles, and applications.",,2017-01-01 00:00:00,0,0,0,0,,2024-09-19 17:27:56,2024-09-19 17:27:56,8,3.0,15
32,"science bachelor degree, physics option","bachelor studies in physics, covering fundamental topics in science.",,2012-01-01 00:00:00,0,0,0,0,,2024-09-19 17:27:56,2024-09-19 17:27:56,2,50.0,15
33,diplôme d'ingénierie informatique et réseaux optio,"a study focusing on computer science and networks with a miage option, including courses related to software development, databases, and information systems.",2021-09-01 00:00:00,2024-06-30 00:00:00,0,0,0,0,,2024-09-19 17:28:08,2024-09-19 17:28:08,8,7.0,16
34,diplôme universitaire de technologie (dut),a technical university diploma with a focus on applied computer science and technology.,2019-09-01 00:00:00,2021-06-30 00:00:00,0,0,0,0,,2024-09-19 17:28:08,2024-09-19 17:28:08,6,42.0,16
35,baccalauréat science physique,a high school diploma with a focus on physical sciences.,2018-09-01 00:00:00,2019-06-30 00:00:00,0,0,0,0,,2024-09-19 17:28:08,2024-09-19 17:28:08,1,51.0,16
36,ingénierie du développement web et mobile,"études sur le développement web et mobile, couvrant divers modèles liés au développement web et mobile, réseaux, et bases de données.",2021-01-01 00:00:00,2024-01-01 00:00:00,0,0,0,0,,2024-09-19 17:38:22,2024-09-19 17:38:22,8,52.0,17
37,brevet de technicien supérieur (bts) en multimédia,études sur la conception multimédia et le développement web couvrant divers modèles liés à la conception graphique et au développement web.,2018-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,,2024-09-19 17:38:22,2024-09-19 17:38:22,6,52.0,17
38,"master en ingénierie informatique, big data et clo","master en ingénierie informatique avec spécialisation en big data et cloud computing. formation couvrant des sujets avancés en informatique, développement logiciel, et technologies cloud.",,2023-01-01 00:00:00,0,0,0,0,,2024-09-19 17:39:45,2024-09-19 17:39:45,3,53.0,18
39,master management stratégique des ressources humai,"j'ai étudié divers modèles de gestion stratégique des ressources humaines incluant le recrutement, acquisition de talents, gestion de la marque employeur et conformité légale.",2022-09-01 00:00:00,2024-06-30 00:00:00,0,0,0,0,,2024-09-30 09:19:18,2024-09-30 09:19:18,3,54.0,19
40,licence en finance et comptabilité,"j'ai étudié les fondamentaux de la finance et de la comptabilité, y compris les finances d'entreprise, la comptabilité financière et la gestion des risques.",2021-09-01 00:00:00,2022-06-30 00:00:00,0,0,0,0,,2024-09-30 09:19:18,2024-09-30 09:19:18,2,54.0,19
41,science économiques et gestion,étude des principes économiques et de gestion appliqués aux entreprises et organisations.,2019-09-01 00:00:00,2021-06-30 00:00:00,0,0,0,0,,2024-09-30 09:19:18,2024-09-30 09:19:18,2,54.0,19
42,baccalauréat science économie,formation de niveau baccalauréat en sciences économiques.,2018-09-01 00:00:00,2019-06-30 00:00:00,0,0,0,0,,2024-09-30 09:19:18,2024-09-30 09:19:18,1,55.0,19
43,certificat d'étude anglaise,certification en anglais pour les études académiques.,,,0,0,0,0,,2024-09-30 09:19:18,2024-09-30 09:19:18,5,,19
44,diplôme d’ingénieur en informatique (option génie ,"ingenieur en informatique avec une spécialisation en génie logiciel, couvrant divers sujets liés à l'informatique, les réseaux, l'ia, et le développement web.",,2021-09-09 01:00:00,0,0,0,0,,2024-10-23 09:20:06,2024-10-23 09:20:06,8,56.0,21
45,master's degree in computer science,"computer science studies which consist on learning and practicing a versatile set of skills from programming languages, algorithms, database management, to dealing with hardware systems and electrical components.",2014-09-01 00:00:00,2017-07-01 00:00:00,0,0,0,0,,2024-10-23 09:20:10,2024-10-23 09:20:10,3,57.0,22
46,preparatory classes - option: maths/physics,"intensive studies in maths, physics and engineering sciences.",2012-09-01 00:00:00,2014-07-01 00:00:00,0,0,0,0,,2024-10-23 09:20:10,2024-10-23 09:20:10,5,58.0,22
47,master en management organisationnel et stratégiqu,"étudiante en 2ème année de master en management organisationnel et stratégique à l'université ibn tofail, en cours depuis janvier 2023.",2023-01-01 00:00:00,,0,0,0,0,,2024-11-08 15:00:32,2024-11-08 15:00:32,3,59.0,23
48,licence fondamentale en marketing et commerce,"études en marketing et commerce à l'université ibn tofail, d'octobre 2021 à juillet 2022.",2021-10-01 00:00:00,2022-07-01 00:00:00,0,0,0,0,,2024-11-08 15:00:32,2024-11-08 15:00:32,2,59.0,23
49,brevet de technicien supérieur (bts) gestion des p,"formation en gestion des pme-pmi au lycée qualifiant ibn sina-kénitra, d'octobre 2019 à juillet 2021.",2019-10-01 00:00:00,2021-07-01 00:00:00,0,0,0,0,,2024-11-08 15:00:32,2024-11-08 15:00:32,6,60.0,23
50,baccalauréat en sciences économiques et gestion op,formation en sciences économiques et gestion au lycée qualifiant technique ibn sina de septembre 2018 à juin 2019.,2018-09-01 00:00:00,2019-06-01 00:00:00,0,0,0,0,,2024-11-08 15:00:32,2024-11-08 15:00:32,1,61.0,23
51,bachelor's degree in business administration,"studied various aspects of business administration including finance, marketing, and management at beirut arab university.",2010-09-01 00:00:00,2013-06-01 00:00:00,0,0,0,0,,2024-11-08 15:00:39,2024-11-08 15:00:39,2,62.0,25
52,"microsoft html5, javascript and css3 certification","certification covering html5, javascript, and css3 technologies.",,,0,0,0,0,,2024-11-08 15:00:44,2024-11-08 15:00:44,5,63.0,24
53,honours in business management with finance,"bsc (honours) in business management with finance at bayes business school, london, uk. studied modules such as quantitative methods & analytics, financial management accounting, econometrics.",2019-09-01 00:00:00,2022-06-01 00:00:00,0,0,0,0,,2024-11-08 15:01:00,2024-11-08 15:01:00,2,64.0,26
54,web and mobile development,"a professional certificate program focusing on web and mobile development techniques, including java, jee, hibernate, oracle, and angular.",2021-09-09 00:00:00,2023-06-30 00:00:00,0,0,0,0,,2024-11-12 10:01:25,2024-11-12 10:01:25,5,65.0,27
55,technicien en développement informatique,"technical training in computer development, focusing on software development techniques and software tools.",2019-09-09 00:00:00,2021-07-01 00:00:00,0,0,0,0,,2024-11-12 10:01:25,2024-11-12 10:01:25,6,66.0,27
56,mathématiques et informatique,"an undergraduate program focusing on mathematics and computer science, building foundational knowledge in programming and data structures.",2018-09-09 00:00:00,2019-07-01 00:00:00,0,0,0,0,,2024-11-12 10:01:25,2024-11-12 10:01:25,2,67.0,27
57,baccalauréat option sciences physiques,high school diploma with a focus on physical sciences.,2017-09-09 00:00:00,2018-07-01 00:00:00,0,0,0,0,,2024-11-12 10:01:25,2024-11-12 10:01:25,1,68.0,27
58,state engineer degree in computer networks and inf,studied various models related to computer networks and information systems.,2015-09-01 01:00:00,2018-06-30 01:00:00,0,0,0,0,,2024-11-12 10:01:27,2024-11-12 10:01:27,7,69.0,32
59,"diploma of university studies in mathematics, comp","focused on foundational mathematics, computer science, physics, and chemistry.",2013-09-01 01:00:00,2015-06-30 01:00:00,0,0,0,0,,2024-11-12 10:01:27,2024-11-12 10:01:27,5,69.0,32
60,baccalaureate in physical sciences,graduated with honors in physical sciences.,2012-09-01 01:00:00,2013-06-30 01:00:00,0,0,0,0,,2024-11-12 10:01:27,2024-11-12 10:01:27,1,70.0,32
61,ingénieur informatique du logiciel,"a description of the degree or diploma, including the study period, courses taken, and skills acquired during the period 2005-2007. specialized in software engineering.",2005-09-01 00:00:00,2007-06-01 00:00:00,0,0,0,0,,2024-11-12 10:01:34,2024-11-12 10:01:34,8,71.0,30
62,baccalauréat série sciences expérimentales,"the baccalaureate in experimental sciences completed in rabat, providing foundational knowledge in scientific studies.",2002-09-01 01:00:00,2003-07-01 01:00:00,0,0,0,0,,2024-11-12 10:01:35,2024-11-12 10:01:35,1,72.0,31
63,"diplôme d’ingénieur, génie informatique et réseaux","study period covering advanced topics in computer science and networks, with specialization in miage at the ecole marocaine des sciences de l’ingénieur.",2003-09-01 01:00:00,2007-07-01 01:00:00,0,0,0,0,,2024-11-12 10:01:35,2024-11-12 10:01:35,8,73.0,31
64,formation jee5,"complementary training on java enterprise edition 5, enhancing development skills with jee technologies.",2009-01-01 01:00:00,2009-02-01 01:00:00,0,0,0,0,,2024-11-12 10:01:35,2024-11-12 10:01:35,5,74.0,31
65,java memory management,an online course focused on effective memory management in java applications.,2021-01-01 01:00:00,2021-02-01 01:00:00,1,0,0,0,,2024-11-12 10:01:35,2024-11-12 10:01:35,5,75.0,31
66,state engineering degree in computer engineering,"study period: 2020-2023. specialization in web engineering and mobile computing. gained experience in java development, web development, databases, and software engineering.",2020-01-01 00:00:00,2023-01-01 00:00:00,0,0,0,0,,2024-11-12 10:01:39,2024-11-12 10:01:39,7,76.0,29
67,"certificate of access to engineering schools, math",study period: 2017-2020. focused on mathematics and physics.,2017-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,,2024-11-12 10:01:39,2024-11-12 10:01:39,5,77.0,29
68,baccalaureate in mathematical sciences a,graduated in 2017 with mention very good in es-semara.,2014-01-01 00:00:00,2017-01-01 00:00:00,0,0,0,0,,2024-11-12 10:01:39,2024-11-12 10:01:39,1,78.0,29
69,phd – intelligence artificial,machine learning for fraud detection in financial transactions. obtained at université cote d’azur.,2021-09-09 01:00:00,2022-08-09 01:00:00,0,0,0,0,,2024-11-12 10:01:44,2024-11-12 10:01:44,4,79.0,28
70,master méthodes informatiques appliquées à la gest,"study focused on mobiquités, big data and integration of systems.",2021-09-09 01:00:00,2022-08-09 01:00:00,0,0,0,0,,2024-11-12 10:01:44,2024-11-12 10:01:44,3,79.0,28
71,ingénieur d’état en génie informatique (miage),state engineering degree focusing on informatics and management.,2015-09-09 01:00:00,2019-07-09 01:00:00,0,0,0,0,,2024-11-12 10:01:44,2024-11-12 10:01:44,7,80.0,28
72,licence en génie informatique,bachelor's degree in computer engineering.,2015-09-09 01:00:00,2019-07-09 01:00:00,0,0,0,0,,2024-11-12 10:01:44,2024-11-12 10:01:44,2,81.0,28
73,baccalauréat sciences physiques,high school diploma in physical sciences.,2014-09-09 01:00:00,2015-07-09 01:00:00,0,0,0,0,,2024-11-12 10:01:44,2024-11-12 10:01:44,1,82.0,28
74,master d’universitaire spécialisé en ingénierie de,"option qualité du logiciel. studied software quality, application development, and engineering techniques.",2016-09-01 00:00:00,2018-06-30 00:00:00,0,0,0,0,,2024-11-12 10:01:53,2024-11-12 10:01:53,3,83.0,33
75,licda (licence universitaire professionnelle ingén,focused on application design and development.,2014-09-01 00:00:00,2015-06-30 00:00:00,0,0,0,0,,2024-11-12 10:01:53,2024-11-12 10:01:53,2,84.0,33
76,diplôme d'ingénieur en informatique,"diplôme d'ingénieur en informatique avec option en ingénierie des systèmes d’information à l’école nationale des sciences appliquées de tétouan. comprend des études en modèles liés à l'informatique, les réseaux, l'intelligence artificielle et le développement web.",2013-09-01 00:00:00,2016-06-30 00:00:00,0,0,0,0,,2024-11-12 10:02:02,2024-11-12 10:02:02,8,85.0,35
77,baccalauréat,obtention du baccalauréat avec option science mathématiques-a- mention bien.,2010-09-01 00:00:00,2011-06-30 00:00:00,0,0,0,0,,2024-11-12 10:02:02,2024-11-12 10:02:02,1,86.0,35
78,attestation de formation sur l’industrie monétique,formation sur l'industrie monétique et la sécurité électronique avec l'étude des systèmes monétiques et des mesures de sécurité.,2018-01-01 00:00:00,2019-01-01 00:00:00,0,0,0,0,,2024-11-12 10:02:20,2024-11-12 10:02:20,5,87.0,34
79,graduate diploma in information technology softwar,"studied various models related to cs, software engineering focusing on java technologies, including courses in programming, databases, and web development.",2007-01-01 00:00:00,2012-01-01 00:00:00,0,0,0,0,,2024-11-12 10:02:20,2024-11-12 10:02:20,8,88.0,34
80,technicien supérieur en informatique de gestion,"technical studies focused on it management, including courses on programming, systems analysis, and data management.",2003-01-01 00:00:00,2006-01-01 00:00:00,0,0,0,0,,2024-11-12 10:02:20,2024-11-12 10:02:20,6,89.0,34
81,entreprenariat en économie numérique et leadership,training in digital economy entrepreneurship and leadership skills development.,2012-01-01 00:00:00,2013-01-01 00:00:00,0,0,0,0,,2024-11-12 10:02:20,2024-11-12 10:02:20,5,90.0,34
82,specialised master’s degree in financial technique,"pricing of vanilla and exotic options, risk management, econometrics",2003-09-01 00:00:00,2004-06-01 00:00:00,0,0,0,0,,2024-12-11 11:08:28,2024-12-11 11:08:28,3,91.0,36
83,"master of science in computer science, network and","network and telecommunication, computing, statistics",2000-09-01 00:00:00,2003-06-01 00:00:00,0,0,0,0,,2024-12-11 11:08:29,2024-12-11 11:08:29,3,92.0,36
84,master en big data & aide à la décision,"data scientist spécialisé en intelligence artificielle et en apprentissage automatique, avec une solide expérience dans l'analyse de données. utilisation de python pour manipuler, analyser et visualiser des données, tout en exploitant des bibliothèques telles que tensorflow et scikit-learn. création de tableaux de bord interactifs avec power bi.",2021-09-01 01:00:00,2023-06-01 01:00:00,0,0,0,0,,2024-12-16 10:29:02,2024-12-16 10:29:02,3,38.0,38
85,licence professionnelle en informatique décisionne,acquisition des compétences pour l'analyse de données et la création de systèmes d'aide à la décision.,2018-09-01 01:00:00,2021-06-01 01:00:00,0,0,0,0,,2024-12-16 10:29:02,2024-12-16 10:29:02,2,93.0,38
86,diplôme universitaire de technologie en développeu,formation en développement d'applications avec un focus sur les compétences pratiques.,2018-09-01 01:00:00,2020-06-01 01:00:00,0,0,0,0,,2024-12-16 10:29:02,2024-12-16 10:29:02,6,93.0,38
87,baccalauréat scientifique option science physique,formation générale avec une spécialisation en sciences physiques.,,2018-06-01 01:00:00,0,0,0,0,,2024-12-16 10:29:02,2024-12-16 10:29:02,1,94.0,38
88,computer engineering – big data & cloud computing,"engineering degree focusing on big data & cloud computing at enset mohammedia, completed in june 2024, covering advanced topics in computing, data processing, and cloud technologies.",,2024-06-01 00:00:00,0,0,0,0,,2024-12-16 10:29:07,2024-12-16 10:29:07,8,95.0,37
89,general university studies diploma – secondary edu,diploma completed at ens tetouan in july 2021 with specialization in mathematics.,,2021-07-01 00:00:00,0,0,0,0,,2024-12-16 10:29:07,2024-12-16 10:29:07,1,96.0,37
90,master’s in big data and iot,"big data, iot, data analysis, machine learning, deep learning",2022-10-01 00:00:00,2024-07-01 00:00:00,0,0,0,0,,2024-12-16 10:29:09,2024-12-16 10:29:09,3,97.0,39
91,ai and data science,"machine learning, deep learning, data analysis, big data",2021-10-01 00:00:00,2022-06-01 00:00:00,0,0,0,0,,2024-12-16 10:29:09,2024-12-16 10:29:09,6,98.0,39
92,business intelligence and data science,"programming, data analysis, machine learning, deep learning",2019-10-01 00:00:00,2021-07-01 00:00:00,0,0,0,0,,2024-12-16 10:29:09,2024-12-16 10:29:09,6,99.0,39
93,master en statistique and econométrie,"master de recherche en statistique inférentielle, mesure de dépendance, optimisation et méthodes de prévision linéaire et non linéaire.",2019-10-01 01:00:00,,0,0,0,0,,2024-12-16 10:29:22,2024-12-16 10:29:22,3,100.0,41
94,licence en mathématiques appliquées,"mathématiques, analyse numérique, programmation et optimisation",2013-10-01 01:00:00,2017-06-01 01:00:00,0,0,0,0,,2024-12-16 10:29:22,2024-12-16 10:29:22,2,101.0,41
95,high school diploma of mathematics science b optio,"this diploma was obtained in july 2018, focusing on mathematics and sciences.",,2018-07-01 00:00:00,0,0,0,0,,2024-12-16 10:29:33,2024-12-16 10:29:33,1,102.0,40
96,fundamental bachelor degree in mathematics and com,"this bachelor's degree was completed in july 2022 at cadi ayyad university, covering essential courses in mathematics and computer science.",,2022-07-01 00:00:00,0,0,0,0,,2024-12-16 10:29:33,2024-12-16 10:29:33,2,103.0,40
97,master of research in computer science and artific,"this master's degree is being pursued at ibn tofail university, focusing on advanced research in computer science and artificial intelligence.",,2024-11-01 00:00:00,0,0,0,0,,2024-12-16 10:29:33,2024-12-16 10:29:33,3,104.0,40
98,phd in statistical analysis and texture image clas,"doctorate from the faculty of sciences – rabat, focused on statistical analysis and texture image classification from 2014 to 2018.",2014-01-01 01:00:00,2018-01-01 01:00:00,0,0,0,0,,2024-12-16 10:29:34,2024-12-16 10:29:34,4,105.0,42
99,master in it: image processing,master's program at the faculty of sciences – rabat with a concentration on image processing from 2011 to 2013.,2011-01-01 01:00:00,2013-01-01 01:00:00,0,0,0,0,,2024-12-16 10:29:34,2024-12-16 10:29:34,3,105.0,42
100,bachelor’s degree in mathematics and computer scie,"bachelor's degree in mathematics and computer science, providing a foundation in programming and computation from 2008 to 2011.",2008-01-01 01:00:00,2011-01-01 01:00:00,0,0,0,0,,2024-12-16 10:29:34,2024-12-16 10:29:34,2,105.0,42
101,embedded systems & digital services engineering,studied at national institute of posts and telecommunications with a focus on embedded systems & digital services engineering from 2020 to 2023.,2020-09-01 01:00:00,2023-06-01 01:00:00,0,0,0,0,,2024-12-17 09:27:00,2024-12-17 09:27:00,8,106.0,43
102,physics and engineering sciences,"attended higher schools preparatory classes - reda slaoui, focusing on physics and engineering sciences from 2018 to 2020.",2018-09-01 01:00:00,2020-06-01 01:00:00,0,0,0,0,,2024-12-17 09:27:00,2024-12-17 09:27:00,5,107.0,43
103,phd in fake review detection with llms,"focused on detecting fake reviews using large language models. the study period from 2022 to 2026 at ensias included courses and projects around machine learning, deep learning, and natural language processing.",2022-01-01 00:00:00,2026-01-01 00:00:00,0,0,0,0,,2024-12-17 10:36:00,2024-12-17 10:36:00,4,43.0,44
104,master's degree in data science and big data,"studied advanced techniques in data science, big data management, and machine learning at ensias from 2020 to 2022. gained proficiency in data analysis and handling large datasets.",2020-01-01 00:00:00,2022-01-01 00:00:00,0,0,0,0,,2024-12-17 10:36:00,2024-12-17 10:36:00,3,43.0,44
105,bachelor's degree in software engineering,"completed bachelor's studies in software engineering at fst, errachidia in 2019-2020, focusing on software development, algorithms, and data structures.",2019-01-01 00:00:00,2020-01-01 00:00:00,0,0,0,0,,2024-12-17 10:36:00,2024-12-17 10:36:00,2,108.0,44
106,diploma bts multimedia and web design,"focused on multimedia and web design, gaining skills in web development and design concepts, studied at the preparatory class for bts from 2017 to 2019.",2017-01-01 00:00:00,2019-01-01 00:00:00,0,0,0,0,,2024-12-17 10:36:00,2024-12-17 10:36:00,6,109.0,44
107,scientific baccalaureate,"completed scientific baccalaureate at tafilalet high school in 2017, focusing on fundamental sciences and analytical skills.",2016-01-01 00:00:00,2017-01-01 00:00:00,0,0,0,0,,2024-12-17 10:36:00,2024-12-17 10:36:00,1,110.0,44
108,diplôme d’ingénieur en data engineering,"a étudié l'ingénierie des données à l'institut national des postes et télécommunications, axée sur les systèmes de gestion des données, l'analyse des données, et les infrastructures de cloud computing.",,,0,0,0,0,,2024-12-17 10:36:51,2024-12-17 10:36:51,8,111.0,45
109,"classes préparatoires aux grandes écoles, filière ","études préparatoires aux grandes écoles avec une spécialisation en mathématiques, physique et sciences de l'ingénieur, axées sur les méthodes quantitatives et analytiques.",,,0,0,0,0,,2024-12-17 10:36:51,2024-12-17 10:36:51,6,112.0,45
110,specialized master's degree in data science,"having recently graduated with a master's degree in data science. passionate about data and its transformative potential, i possess a strong background in data analysis, statistics, machine learning, and deep learning in across various industries.",2022-09-01 01:00:00,,0,0,0,0,,2024-12-18 09:52:50,2024-12-18 09:52:50,3,113.0,46
111,bachelor's degree in mathematic and computer scien,studied mathematics and computer sciences with a focus on programming and algorithm development.,2021-10-01 01:00:00,2022-07-01 01:00:00,0,0,0,0,,2024-12-18 09:52:50,2024-12-18 09:52:50,2,114.0,46
112,high school diploma in mathematics option a,completed high school with a focus on advanced mathematics courses.,2017-09-01 01:00:00,2018-06-01 01:00:00,0,0,0,0,,2024-12-18 09:52:50,2024-12-18 09:52:50,1,115.0,46
113,product owner certification,"certified as a product owner in project management from io4pm, enhancing skills in project management.",2021-01-01 00:00:00,2021-12-31 23:59:59,1,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,5,116.0,47
114,scrum master certification,scrum master certified to enhance knowledge and application of agile methodologies.,2020-01-01 00:00:00,2020-12-31 23:59:59,1,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,5,117.0,47
115,market finance certification,"certification in market finance from intec paris cnam, specializing in market finance products and tools.",2017-01-01 00:00:00,2017-12-31 23:59:59,0,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,5,118.0,47
116,graduate engineer in computer sciences,"engineering degree in computer sciences from ensias-ensimag, focusing on computation, systems, and networks.",2008-09-01 00:00:00,2011-06-30 23:59:59,0,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,8,119.0,47
117,preparatory classes to the french engineering scho,"preparatory classes in fès, morocco focused on mathematics and physics for french engineering schools.",2005-09-01 00:00:00,2008-06-30 23:59:59,0,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,1,120.0,47
118,baccalaureate in mathematical sciences,"baccalaureate obtained in fès, morocco specializing in mathematical sciences.",2005-01-01 00:00:00,2005-12-31 23:59:59,0,0,0,0,,2024-12-19 16:28:56,2024-12-19 16:28:56,1,120.0,47
119,professional risk management certification,"certified in professional risk management with extensive experience using murex platforms in banking sectors including investment banking, asset management, and credit analysis.",2011-07-01 00:00:00,2011-07-31 00:00:00,0,0,0,0,,2024-12-22 15:36:58,2024-12-22 15:36:58,6,121.0,48
120,master's in computer science,"completed master's studies with focus on various it and computing concepts, software development, databases, and financial data analysis.",2000-06-01 00:00:00,,0,0,0,0,,2024-12-22 15:36:58,2024-12-22 15:36:58,3,122.0,48
121,finance major,"studied various financial models and principles, financial management, and analysis techniques.",1999-06-01 00:00:00,,0,0,0,0,,2024-12-22 15:36:59,2024-12-22 15:36:59,1,123.0,48
122,baccalauréat en sciences,concentration in mathematics and physics.,1993-06-01 00:00:00,,0,0,0,0,,2024-12-22 15:36:59,2024-12-22 15:36:59,1,124.0,48
123,bachelor in computer science,"studied computer science from 1997 to 2002, covering various models related to programming, networks, and software development.",1997-01-01 00:00:00,2002-01-01 00:00:00,0,0,0,0,,2024-12-22 15:37:31,2024-12-22 15:37:31,2,125.0,49
124,planning and management projects,"studied planning and management projects based on pmbok fifth edition in sao paulo, brazil with a focus on project management frameworks and methodologies.",2014-01-01 00:00:00,2015-01-01 00:00:00,0,0,0,0,,2024-12-22 15:37:31,2024-12-22 15:37:31,6,126.0,49
125,itil foundation v3,certification in itil foundation v3 focusing on it service management.,2015-01-01 00:00:00,2015-12-31 00:00:00,1,0,0,0,,2024-12-22 15:37:31,2024-12-22 15:37:31,5,127.0,49
126,certification amf,"certification amf (par le cnam), obtained in 2017.",,2017-01-01 00:00:00,0,0,0,0,,2024-12-22 15:41:09,2024-12-22 15:41:09,5,128.0,50
127,master m2 finances de marché et gestion des capita,master m2 finances de marché et gestion des capitaux at cnam-essec,,2008-01-01 00:00:00,0,0,0,0,,2024-12-22 15:41:09,2024-12-22 15:41:09,3,129.0,50
